pu,nuts2id,EU_id
4048,216,1247
4049,216,1248
4050,216,1249
4051,216,1250
4052,216,1251
4053,216,1252
4054,216,1253
4055,216,1254
4056,216,1255
4057,216,1256
4058,216,1257
4059,216,1258
4060,97,1259
4061,97,1260
4062,97,1261
4063,97,1262
4064,97,1263
4065,97,1264
4066,97,1265
4067,97,1266
4068,97,1267
4069,97,1268
4070,97,1269
4071,97,1270
4072,97,1271
4073,97,1272
4074,97,1273
4075,97,1274
4076,97,1275
4077,97,1276
4078,97,1277
4079,97,1278
4080,97,1279
4081,97,1280
4082,97,1281
4083,97,1282
4084,97,1283
4085,97,1284
4086,97,1285
4148,216,1286
4149,216,1287
4150,216,1288
4151,216,1289
4152,216,1290
4153,216,1291
4154,216,1292
4155,216,1293
4156,216,1294
4157,216,1295
4158,216,1296
4159,216,1297
4160,216,1298
4161,216,1299
4162,216,1300
4163,216,1301
4164,216,1302
4165,216,1303
4166,216,1304
4167,216,1305
4168,216,1306
4169,216,1307
4170,216,1308
4171,216,1309
4172,216,1310
4173,216,1311
4174,216,1312
4175,216,1313
4176,216,1314
4177,216,1315
4178,216,1316
4179,216,1317
4180,216,1318
4181,97,1319
4182,97,1320
4183,97,1321
4184,97,1322
4185,97,1323
4186,97,1324
4187,97,1325
4188,97,1326
4189,97,1327
4190,97,1328
4191,97,1329
4192,97,1330
4193,97,1331
4194,97,1332
4195,97,1333
4196,97,1334
4197,97,1335
4198,97,1336
4199,97,1337
4200,97,1338
4201,97,1339
4202,97,1340
4203,97,1341
4204,97,1342
4205,97,1343
4206,97,1344
4207,97,1345
4208,97,1346
4271,216,1347
4272,216,1348
4273,216,1349
4274,216,1350
4275,216,1351
4276,216,1352
4277,216,1353
4278,216,1354
4279,216,1355
4280,216,1356
4281,216,1357
4282,216,1358
4283,216,1359
4284,216,1360
4285,216,1361
4286,216,1362
4287,216,1363
4288,216,1364
4289,216,1365
4290,216,1366
4291,216,1367
4292,216,1368
4293,216,1369
4294,216,1370
4295,216,1371
4296,216,1372
4297,216,1373
4298,216,1374
4299,216,1375
4300,216,1376
4301,216,1377
4302,216,1378
4303,216,1379
4304,97,1380
4305,97,1381
4306,97,1382
4307,97,1383
4308,97,1384
4309,97,1385
4310,97,1386
4311,97,1387
4312,97,1388
4313,97,1389
4314,97,1390
4315,97,1391
4316,97,1392
4317,97,1393
4318,97,1394
4319,97,1395
4320,97,1396
4321,97,1397
4322,97,1398
4323,97,1399
4324,97,1400
4325,97,1401
4326,97,1402
4327,97,1403
4328,97,1404
4329,97,1405
4330,97,1406
4331,97,1407
4332,97,1408
4392,216,1409
4393,216,1410
4394,216,1411
4395,216,1412
4396,216,1413
4397,216,1414
4398,216,1415
4399,216,1416
4400,216,1417
4401,216,1418
4402,216,1419
4403,216,1420
4404,216,1421
4405,216,1422
4406,216,1423
4407,216,1424
4408,216,1425
4409,216,1426
4410,216,1427
4411,216,1428
4412,216,1429
4413,216,1430
4414,216,1431
4415,216,1432
4416,216,1433
4417,216,1434
4418,216,1435
4419,216,1436
4420,216,1437
4421,216,1438
4422,216,1439
4423,216,1440
4424,216,1441
4425,216,1442
4426,97,1443
4427,97,1444
4428,97,1445
4429,97,1446
4430,97,1447
4431,97,1448
4432,97,1449
4433,97,1450
4434,97,1451
4435,97,1452
4436,97,1453
4437,97,1454
4438,97,1455
4439,97,1456
4440,97,1457
4441,97,1458
4442,97,1459
4443,97,1460
4444,97,1461
4445,97,1462
4446,97,1463
4447,97,1464
4448,97,1465
4449,97,1466
4450,97,1467
4451,97,1468
4452,97,1469
4453,97,1470
4454,97,1471
4511,216,1472
4512,216,1473
4513,216,1474
4514,216,1475
4515,216,1476
4516,216,1477
4517,216,1478
4518,216,1479
4519,216,1480
4520,216,1481
4521,216,1482
4522,216,1483
4523,216,1484
4524,216,1485
4525,216,1486
4526,216,1487
4527,216,1488
4528,216,1489
4529,216,1490
4530,216,1491
4531,216,1492
4532,216,1493
4533,216,1494
4534,216,1495
4535,216,1496
4536,216,1497
4537,216,1498
4538,216,1499
4539,216,1500
4540,216,1501
4541,216,1502
4542,216,1503
4543,216,1504
4544,216,1505
4545,216,1506
4546,97,1507
4547,97,1508
4548,97,1509
4549,97,1510
4550,97,1511
4551,97,1512
4552,97,1513
4553,97,1514
4554,97,1515
4555,97,1516
4556,97,1517
4557,97,1518
4558,97,1519
4559,97,1520
4560,97,1521
4561,97,1522
4562,97,1523
4563,97,1524
4564,97,1525
4565,97,1526
4566,97,1527
4567,97,1528
4568,97,1529
4569,97,1530
4570,97,1531
4571,97,1532
4572,97,1533
4573,97,1534
4574,97,1535
4575,97,1536
4631,216,1537
4632,216,1538
4633,216,1539
4634,216,1540
4635,216,1541
4636,216,1542
4637,216,1543
4638,216,1544
4639,216,1545
4640,216,1546
4641,216,1547
4642,216,1548
4643,216,1549
4644,216,1550
4645,216,1551
4646,216,1552
4647,216,1553
4648,216,1554
4649,216,1555
4650,216,1556
4651,216,1557
4652,216,1558
4653,216,1559
4654,216,1560
4655,216,1561
4656,216,1562
4657,216,1563
4658,216,1564
4659,216,1565
4660,216,1566
4661,216,1567
4662,216,1568
4663,216,1569
4664,216,1570
4665,216,1571
4666,97,1572
4667,97,1573
4668,97,1574
4669,97,1575
4670,97,1576
4671,97,1577
4672,97,1578
4673,97,1579
4674,97,1580
4675,97,1581
4676,97,1582
4677,97,1583
4678,97,1584
4679,97,1585
4680,97,1586
4681,97,1587
4682,97,1588
4683,97,1589
4684,97,1590
4685,97,1591
4686,97,1592
4687,97,1593
4688,97,1594
4689,97,1595
4690,97,1596
4691,97,1597
4692,97,1598
4693,97,1599
4694,97,1600
4695,97,1601
4751,216,1602
4752,216,1603
4753,216,1604
4754,216,1605
4755,216,1606
4756,216,1607
4757,216,1608
4758,216,1609
4759,216,1610
4760,216,1611
4761,216,1612
4762,216,1613
4763,216,1614
4764,216,1615
4765,216,1616
4766,216,1617
4767,216,1618
4768,216,1619
4769,216,1620
4770,216,1621
4771,216,1622
4772,216,1623
4773,216,1624
4774,216,1625
4775,216,1626
4776,216,1627
4777,216,1628
4778,216,1629
4779,216,1630
4780,216,1631
4781,216,1632
4782,216,1633
4783,216,1634
4784,216,1635
4785,216,1636
4786,216,1637
4787,97,1638
4788,97,1639
4789,97,1640
4790,97,1641
4791,97,1642
4792,97,1643
4793,97,1644
4794,97,1645
4795,97,1646
4796,97,1647
4797,97,1648
4798,97,1649
4799,97,1650
4800,97,1651
4801,97,1652
4802,97,1653
4803,97,1654
4804,97,1655
4805,97,1656
4806,97,1657
4807,97,1658
4808,97,1659
4809,97,1660
4810,97,1661
4811,97,1662
4812,97,1663
4813,97,1664
4814,97,1665
4815,97,1666
4870,216,1667
4871,216,1668
4872,216,1669
4873,216,1670
4874,216,1671
4875,216,1672
4876,216,1673
4877,216,1674
4878,216,1675
4879,216,1676
4880,216,1677
4881,216,1678
4882,216,1679
4883,216,1680
4884,216,1681
4885,216,1682
4886,216,1683
4887,216,1684
4888,216,1685
4889,216,1686
4890,216,1687
4891,216,1688
4892,216,1689
4893,216,1690
4894,216,1691
4895,216,1692
4896,216,1693
4897,216,1694
4898,216,1695
4899,216,1696
