speciesname,taxon_id
Leontodon_microcephalus,3133531
Linaria_flava,7612469
Lyciasalamandra_helverseni,2431829
Lythrum_flexuosum,3988992
Macrovipera_schweizeri,2444698
Mertensiella_luschani,2431833
Micropyropsis_tuberosa,4145890
Narcissus_longispathus,10671015
Narcissus_nevadensis,2858662
Narcissus_viridiflorus,2858201
Ophiomorus_punctatissimus,2462191
Ophrys_lunulata,2793844
Arabis_sadina,5375135
Ornithogalum_reverchonii,9254095
Paeonia_parnassica,3614186
Pinguicula_nevadensis,5667895
Podarcis_tiliguerta,2469126
Puccinellia_pungens,2704720
Ranunculus_weyleri,3921209
Rouya_polygama,9348906
Artemisia_granatensis,3121429
Santolina_impressa,4252829
Senecio_elodes,8075117
Seseli_intricatum,3630865
Sideritis_javalambrensis,7307469
Silene_mariana,8012009
Stipa_austroitalica,4144609
Testudo_marginata,2441502
Aconitum_corsicum,7976879
Thymus_capitellatus,7307657
Tulipa_cypria,5299588
Vicia_bifoliolata,2974799
Viola_athois,5663312
Vipera_xanthina,4820419
Astragalus_maritimus,5343495
Astragalus_tremolsianus,5346662
Astragalus_verrucosus,5346856
Baetica_ustulata,1692648
Bellevalia_hackelii,5304200
Elatine_gussonei,7550532
Anacamptis_urvilleana,7504253
Hyoseris_frutescens,8575922
Anthyllis_lusitanica,5627394
Limonium_multiflorum,4089687
Limonium_pseudolaetum,4090766
Linaria_coutinhoi,7759323
Macrothele_calpeiana,2145078
Convolvulus_fernandesii,3679523
Alyssum_pintodasilvae,3044979
Cremnophyton_lanfrancoi,7515774
Apteromantis_aptera,1405466
Narcissus_calcicola,2858644
Omphalodes_kuzinskyanae,9479684
Orobanche_densiflora,3733897
Plantago_algarbiensis,4155899
Armeria_neglecta,5668281
Armeria_rouyana,5668199
Pseudarrhenatherum_pallens,4120732
Armeria_velutina,5668162
Silene_longicilia,7267697
Thymus_camphoratus,7307674
Tuberaria_major,3595738
Boleum_asperum,5375681
Brassica_macrocarpa,3042797
Algyroides_marchi,2469356
Centaurea_akamantis,3127662
Centaurea_balearica,9142715
Algyroides_moreoticus,2469367
Centaurea_gadorensis,3128138
Centaurea_horrida,7468889
Centaurea_niederi,3127473
Centaurea_pinnata,3127672
Centaurea_pulvinata,3128734
Cephalanthera_cucullata,2795928
Crepis_granatensis,5403502
Crocus_hartmannianus,2747562
Cytisus_aeolicus,5354605
Daphne_rodriguezii,5524064
Discoglossus_pictus,2426617
Discoglossus_sardus,2426615
Emys_trinacris,5220531
Euphorbia_transtagana,3068150
Fritillaria_conica,5300841
Fritillaria_obliqua,5300571
Fritillaria_rhodocanakis,5300607
Gaudinia_hispanica,5672463
Genista_dorycnifolia,5347679
Globularia_stygia,8034529
Halimium_verticillatum,3595820
Helianthemum_alypoides,3595627
Androcymbium_rechingeri,2740521
Jankaea_heldreichii,3820087
Anthyllis_hystrix,5352343
Antirrhinum_charidemi,3741143
Laserpitium_longiradium,3630000
Leontodon_boryi,3137527
Lindenia_tetraphylla,5051794
Lithodora_nitida,4059956
Nepeta_sphaciotica,5609657
Odontites_granatensis,7639090
Origanum_dictamnus,3894972
Paeonia_cambessedesii,3614311
Arenaria_nevadensis,5585118
Phlomis_brevibracteata,3888448
Phlomis_cypria,7307289
Plantago_almogravensis,4155899
Podarcis_cretensis,5789532
Podarcis_levendis,5789530
Podarcis_lilfordi,2469155
Ribes_sardoum,4194757
Salvia_veneris,3884303
Santolina_elegans,3125943
Scilla_odorata,2767362
Sciurus_anomalus,8243249
Sideritis_serrata,3888771
Silene_hifacensis,5587262
Silene_holzmannii,7662000
Silene_velutina,7538949
Teucrium_charidemi,3897704
Teucrium_lepicephalum,4931003
Teucrium_turredanum,3892603
Ulex_densus,2951999
Zelkova_abelicea,4159329
Atropa_baetica,3802666
Avenula_hackelii,8358373
Cistus_palhinhae,3595098
Limonium_insulare,4088622
Marsilea_batardae,5613441
Myosotis_lusitanica,6096564
Chionodoxa_lochiae,2767355
Cordulegaster_trinacriae,1421207
Coronopus_navasii,5376452
Alytes_dickhilleni,2426613
Discoglossus_montalentii,2426621
Galium_viridiflorum,2913980
Hyla_intermedia,2427598
Hyla_sarda,2427563
Anthemis_glaberrima,3122645
Mandragora_officinarum,5341748
Marsilea_strigosa,5613324
Apium_bermejoi,5831893
Myosotis_retusifolia,5660582
Phoenix_theophrasti,5293186
Pinguicula_crystallina,8058554
Polygonum_praelongum,5652611
Veronica_oetaea,3728644
Unio_tumidiformis,6548059
Carex_panormitana,2722101
Helichrysum_melitense,3131272
Lampedusa_melitensis,5783180
Antirrhinum_lopesianum,3740165
Linaria_ficalhoana,7664498
Myrmecophilus_baronii,5100580
Palaeocyanus_crassifolius,3097098
Armadillidium_ghardalamensis,4416689
Pseudoseriscius_cameroni,4455199
Scrophularia_sublyrata,3735647
Silene_rothmaleri,5584478
Verbascum_litigiosum,9644635
Borderea_chouardii,2754399
Brassica_hilarionis,3042748
Brassica_insularis,3042880
Bupleurum_kakiskalae,3638275
Centaurea_citricolor,3127794
Centaurea_corymbosa,3128595
Centaurea_kalambakensis,3127554
Centaurea_peucedanifolia,3128211
Centranthus_trinervis,4095830
Allium_grosii,2855945
Consolida_samia,9680003
Convolvulus_argyrothamnus,3677070
Delphinium_caseyi,3920959
Dianthus_rupicola,7267156
Erigeron_frigidus,7444427
Erodium_paularense,3826450
Euphorbia_margalidiana,3065201
Helichrysum_sibthorpii,3131630
Hypericum_aciferum,3711466
Jurinea_fontqueri,5694634
Limonium_strictissimum,4089439
Linaria_hellenica,7376915
Linaria_tursica,8014330
Murbeckiella_sousae,3048748
Naufraga_balearica,5539675
Arenaria_provincialis,5584607
Armeria_berlengensis,4090794
Plecotus_sardus,5739436
Primula_palinuri,5641574
Ramonda_serbica,6365085
