pu,nuts2id,BR_ID,EU_id
4075,97,6,1274
4076,97,6,1275
4077,97,6,1276
4078,97,6,1277
4079,97,6,1278
4080,97,6,1279
4081,97,6,1280
4082,97,6,1281
4083,97,6,1282
4084,97,6,1283
4085,97,6,1284
4086,97,6,1285
4148,216,1,1286
4149,216,1,1287
4150,216,1,1288
4151,216,1,1289
4152,216,1,1290
4153,216,1,1291
4154,216,1,1292
4155,216,1,1293
4156,216,1,1294
4157,216,1,1295
4158,216,1,1296
4159,216,1,1297
4160,216,1,1298
4161,216,1,1299
4162,216,1,1300
4163,216,1,1301
4164,216,6,1302
4165,216,6,1303
4166,216,6,1304
4167,216,6,1305
4168,216,6,1306
4169,216,6,1307
4170,216,6,1308
4171,216,6,1309
4172,216,6,1310
4173,216,6,1311
4174,216,6,1312
4175,216,6,1313
4176,216,6,1314
4177,216,6,1315
4178,216,6,1316
4179,216,6,1317
4180,216,6,1318
4181,97,6,1319
4182,97,6,1320
4183,97,6,1321
4184,97,6,1322
4185,97,6,1323
4186,97,6,1324
4187,97,6,1325
4188,97,6,1326
4189,97,6,1327
4190,97,6,1328
4191,97,6,1329
4192,97,6,1330
4193,97,6,1331
4194,97,6,1332
4195,97,6,1333
4196,97,6,1334
4197,97,6,1335
4198,97,6,1336
4199,97,6,1337
4200,97,6,1338
4201,97,6,1339
4202,97,6,1340
4203,97,6,1341
4204,97,6,1342
4205,97,6,1343
4206,97,6,1344
4207,97,6,1345
4208,97,6,1346
4271,216,1,1347
4272,216,1,1348
4273,216,1,1349
4274,216,1,1350
4275,216,1,1351
4276,216,1,1352
4277,216,1,1353
4278,216,1,1354
4279,216,1,1355
4280,216,1,1356
4281,216,1,1357
4282,216,1,1358
4283,216,1,1359
4284,216,1,1360
4285,216,1,1361
4286,216,6,1362
4287,216,6,1363
4288,216,6,1364
4289,216,6,1365
4290,216,6,1366
4291,216,6,1367
4292,216,6,1368
4293,216,6,1369
4294,216,6,1370
4295,216,6,1371
4296,216,6,1372
4297,216,6,1373
4298,216,6,1374
4299,216,6,1375
4300,216,6,1376
4301,216,6,1377
4302,216,6,1378
4303,216,6,1379
4304,97,6,1380
4305,97,6,1381
4306,97,6,1382
4307,97,6,1383
4308,97,6,1384
4309,97,6,1385
4310,97,6,1386
4311,97,6,1387
4312,97,6,1388
4313,97,6,1389
4314,97,6,1390
4315,97,6,1391
4316,97,6,1392
4317,97,6,1393
4318,97,6,1394
4319,97,6,1395
4320,97,6,1396
4321,97,6,1397
4322,97,6,1398
4323,97,6,1399
4324,97,6,1400
4325,97,6,1401
4326,97,6,1402
4327,97,6,1403
4328,97,6,1404
4329,97,6,1405
4330,97,6,1406
4331,97,6,1407
4332,97,6,1408
4392,216,1,1409
4393,216,1,1410
4394,216,1,1411
4395,216,1,1412
4396,216,1,1413
4397,216,1,1414
4398,216,1,1415
4399,216,1,1416
4400,216,1,1417
4401,216,1,1418
4402,216,6,1419
4403,216,6,1420
4404,216,6,1421
4405,216,6,1422
4406,216,6,1423
4407,216,6,1424
4408,216,6,1425
4409,216,6,1426
4410,216,6,1427
4411,216,6,1428
4412,216,6,1429
4413,216,6,1430
4414,216,6,1431
4415,216,6,1432
4416,216,6,1433
4417,216,6,1434
4418,216,6,1435
4419,216,6,1436
4420,216,6,1437
4421,216,6,1438
4422,216,6,1439
4423,216,6,1440
4424,216,6,1441
4425,216,6,1442
4426,97,6,1443
4427,97,6,1444
4428,97,6,1445
4429,97,6,1446
4430,97,6,1447
4431,97,6,1448
4432,97,6,1449
4433,97,6,1450
4434,97,6,1451
4435,97,6,1452
4436,97,6,1453
4437,97,6,1454
4438,97,6,1455
4439,97,6,1456
4440,97,6,1457
4441,97,6,1458
4442,97,6,1459
4443,97,6,1460
4444,97,6,1461
4445,97,6,1462
4446,97,6,1463
4447,97,6,1464
4448,97,6,1465
4449,97,6,1466
4450,97,6,1467
