name,value
Germany.DE25.GRSLND.Area,0.903
Germany.DE25.GRSLND.HiSol_CO2,1.07
Germany.DE25.GRSLND.HiSol_N2O,3.43
,
Germany.DE25.CrpLnd.Area,0.462
Germany.DE25.CrpLnd.HiSol_CO2,18.775
Germany.DE25.CrpLnd.HiSol_N2O,3.43
,
Germany.DE26.GRSLND.Area,0.214
Germany.DE26.GRSLND.HiSol_CO2,1.07
Germany.DE26.GRSLND.HiSol_N2O,3.429
,
Germany.DE26.CrpLnd.Area,0.01
Germany.DE26.CrpLnd.HiSol_CO2,18.94
Germany.DE26.CrpLnd.HiSol_N2O,3.461
,
Germany.DE27.GRSLND.Area,18.711
Germany.DE27.GRSLND.HiSol_CO2,1.07
Germany.DE27.GRSLND.HiSol_N2O,3.432
,
Germany.DE27.CrpLnd.Area,7.963
Germany.DE27.CrpLnd.HiSol_CO2,18.778
Germany.DE27.CrpLnd.HiSol_N2O,3.432
,
Germany.DE40.GRSLND.Area,101.079
Germany.DE40.GRSLND.HiSol_CO2,1.07
Germany.DE40.GRSLND.HiSol_N2O,3.432
,
Germany.DE40.CrpLnd.Area,69.344
Germany.DE40.CrpLnd.HiSol_CO2,18.778
Germany.DE40.CrpLnd.HiSol_N2O,3.432
,
Germany.DE71.GRSLND.Area,1.499
Germany.DE71.GRSLND.HiSol_CO2,1.07
Germany.DE71.GRSLND.HiSol_N2O,3.432
,
Germany.DE71.CrpLnd.Area,2.221
Germany.DE71.CrpLnd.HiSol_CO2,18.778
Germany.DE71.CrpLnd.HiSol_N2O,3.432
,
Germany.DE73.GRSLND.Area,0.414
Germany.DE73.GRSLND.HiSol_CO2,1.07
Germany.DE73.GRSLND.HiSol_N2O,3.439
,
Germany.DE73.CrpLnd.Area,0.002
Germany.DE73.CrpLnd.HiSol_CO2,18.247
Germany.DE73.CrpLnd.HiSol_N2O,3.337
,
Germany.DE80.GRSLND.Area,110.915
Germany.DE80.GRSLND.HiSol_CO2,1.07
Germany.DE80.GRSLND.HiSol_N2O,3.432
,
Germany.DE80.CrpLnd.Area,89.821
Germany.DE80.CrpLnd.HiSol_CO2,18.778
Germany.DE80.CrpLnd.HiSol_N2O,3.432
,
Germany.DE91.GRSLND.Area,9.11
Germany.DE91.GRSLND.HiSol_CO2,1.07
Germany.DE91.GRSLND.HiSol_N2O,3.432
,
Germany.DE91.CrpLnd.Area,9.416
Germany.DE91.CrpLnd.HiSol_CO2,18.778
Germany.DE91.CrpLnd.HiSol_N2O,3.432
,
Germany.DE92.GRSLND.Area,20.176
Germany.DE92.GRSLND.HiSol_CO2,1.07
Germany.DE92.GRSLND.HiSol_N2O,3.432
,
Germany.DE92.CrpLnd.Area,18.975
Germany.DE92.CrpLnd.HiSol_CO2,18.778
Germany.DE92.CrpLnd.HiSol_N2O,3.432
,
Germany.DE93.GRSLND.Area,104.161
Germany.DE93.GRSLND.HiSol_CO2,1.07
Germany.DE93.GRSLND.HiSol_N2O,3.432
,
Germany.DE93.CrpLnd.Area,34.608
Germany.DE93.CrpLnd.HiSol_CO2,18.778
Germany.DE93.CrpLnd.HiSol_N2O,3.432
,
Germany.DE94.GRSLND.Area,122.499
Germany.DE94.GRSLND.HiSol_CO2,1.07
Germany.DE94.GRSLND.HiSol_N2O,3.432
,
Germany.DE94.CrpLnd.Area,58.463
Germany.DE94.CrpLnd.HiSol_CO2,18.778
Germany.DE94.CrpLnd.HiSol_N2O,3.432
,
Germany.DEA1.GRSLND.Area,0.61
Germany.DEA1.GRSLND.HiSol_CO2,1.07
Germany.DEA1.GRSLND.HiSol_N2O,3.432
,
Germany.DEA1.CrpLnd.Area,0.303
Germany.DEA1.CrpLnd.HiSol_CO2,18.781
Germany.DEA1.CrpLnd.HiSol_N2O,3.435
,
Germany.DEA2.GRSLND.Area,0.28
Germany.DEA2.GRSLND.HiSol_CO2,1.07
Germany.DEA2.GRSLND.HiSol_N2O,3.433
,
Germany.DEA2.CrpLnd.Area,0.006
Germany.DEA2.CrpLnd.HiSol_CO2,18.609
Germany.DEA2.CrpLnd.HiSol_N2O,3.4
,
Germany.DEA3.GRSLND.Area,5.861
Germany.DEA3.GRSLND.HiSol_CO2,1.07
Germany.DEA3.GRSLND.HiSol_N2O,3.432
,
Germany.DEA3.CrpLnd.Area,7.238
Germany.DEA3.CrpLnd.HiSol_CO2,18.778
Germany.DEA3.CrpLnd.HiSol_N2O,3.432
,
Germany.DEA4.GRSLND.Area,6.567
Germany.DEA4.GRSLND.HiSol_CO2,1.07
Germany.DEA4.GRSLND.HiSol_N2O,3.432
,
Germany.DEA4.CrpLnd.Area,4.916
Germany.DEA4.CrpLnd.HiSol_CO2,18.778
Germany.DEA4.CrpLnd.HiSol_N2O,3.432
,
Germany.DEA5.GRSLND.Area,0.26
Germany.DEA5.GRSLND.HiSol_CO2,1.07
Germany.DEA5.GRSLND.HiSol_N2O,3.423
,
Germany.DEA5.CrpLnd.Area,0.172
Germany.DEA5.CrpLnd.HiSol_CO2,18.776
Germany.DEA5.CrpLnd.HiSol_N2O,3.423
,
Germany.DEB3.GRSLND.Area,1.328
Germany.DEB3.GRSLND.HiSol_CO2,1.07
Germany.DEB3.GRSLND.HiSol_N2O,3.432
,
Germany.DEB3.CrpLnd.Area,1.004
Germany.DEB3.CrpLnd.HiSol_CO2,18.777
Germany.DEB3.CrpLnd.HiSol_N2O,3.434
,
Germany.DEC0.GRSLND.Area,0.054
Germany.DEC0.GRSLND.HiSol_CO2,1.069
Germany.DEC0.GRSLND.HiSol_N2O,3.431
,
Germany.DEC0.CrpLnd.Area,0.012
Germany.DEC0.CrpLnd.HiSol_CO2,18.784
Germany.DEC0.CrpLnd.HiSol_N2O,3.434
,
Germany.DED1.GRSLND.Area,1.481
